Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
14 GLOBAL,14 N PENNSYLVANIA AVE,BETHANY BEACH,19930,07/20/2021,Routine,7-102.11,Common Name-Working Containers,"14 N PENNSYLVANIA AVE
BETHANY BEACH, DE 19930
(38.53963, -75.057346)"
1776 RESTAURANT LLC,18585 COASTAL HWY,REHOBOTH BEACH,19971,02/26/2020,Routine,,,"18585 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.73668, -75.141001)"
1776 RESTAURANT LLC,18585 COASTAL HWY,REHOBOTH BEACH,19971,11/03/2021,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","18585 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.73668, -75.141001)"
18C  GROCERY AND DELI INC,1232 W 4TH ST,WILMINGTON,19805,08/27/2021,Routine,,,"1232 W 4TH ST
WILMINGTON, DE 19805
(39.745556, -75.563911)"
2 DIPS ICE CREAM,209 SAVANNAH RD,LEWES,19958,07/21/2021,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","209 SAVANNAH RD
LEWES, DE 19958
(38.780112, -75.132991)"
2ND TO NONE,18066 DEER FOREST RD,GEORGETOWN,19947,08/05/2021,Routine,,,"18066 DEER FOREST RD
GEORGETOWN, DE 19947
(38.736172, -75.435954)"
3 C'S FOOD  MARKET,518 NEW CASTLE AVE,WILMINGTON,19801,10/20/2020,Routine,,,"518 NEW CASTLE AVE
WILMINGTON, DE 19801
(39.727852, -75.543325)"
302 FOOD PLUG,1110 NEWPORT GAP PIKE,WILMINGTON,19804,12/14/2021,Routine,,,"1110 NEWPORT GAP PIKE
WILMINGTON, DE 19804
(39.725987, -75.619432)"
3CS FOOD MARKET,518 NEW CASTLE AVE,WILMINGTON,1980,08/17/2021,Routine,,,"518 NEW CASTLE AVE
WILMINGTON, DE 1980
(39.727852, -75.543325)"
76ERS FIELD HOUSE,401 GARASCHES LN,WILMINGTON,19801,03/05/2020,Routine,,,"401 GARASCHES LN
WILMINGTON, DE 19801
(39.726448, -75.553682)"
7-ELEVEN 11288A,4865 GOV PRINTZ BLV,WILMINGTON,19809,01/12/2021,Routine,,,
88 BUFFET,190-210 PENCADER PLAZA,NEWARK,19713,02/25/2020,Routine,,,"190-210 PENCADER PLAZA
NEWARK, DE 19713
(39.659135, -75.736542)"
99 SEA LEVEL RESTAURANT,99 HOLLYWOOD ST,BETHANY BEACH,19930,09/15/2021,Routine,,,"99 HOLLYWOOD ST
BETHANY BEACH, DE 19930
(38.537459, -75.054632)"
A AND M MARKET INC,942 BENNETT ST,WILMINGTON,19801,02/16/2021,Routine,,,"942 BENNETT ST
WILMINGTON, DE 19801
(39.742181, -75.539859)"
A PLUS Z LITTLE CREEK DELI,611 WEST 7TH ST,LAUREL,19956,03/10/2020,Routine,,,"611 WEST 7TH ST
LAUREL, DE 19956
(38.556141, -75.583892)"
ABBOTT'S ON BROAD CREEK,300 DELAWARE AVE,LAUREL,19956,02/27/2020,Routine,6-301.11,"Handwashing Cleanser, Availability","300 DELAWARE AVE
LAUREL, DE 19956
(38.558513, -75.569556)"
ABBOTT'S ON BROAD CREEK,300 DELAWARE AVE,LAUREL,19956,02/27/2020,Routine,6-301.12,Hand Drying Provision,"300 DELAWARE AVE
LAUREL, DE 19956
(38.558513, -75.569556)"
ABBOTT'S ON BROAD CREEK,300 DELAWARE AVE,LAUREL,19956,02/27/2020,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","300 DELAWARE AVE
LAUREL, DE 19956
(38.558513, -75.569556)"
ABBOTT'S ON BROAD CREEK,300 DELAWARE AVE,LAUREL,19956,08/20/2021,Routine,,,"300 DELAWARE AVE
LAUREL, DE 19956
(38.558513, -75.569556)"
ABESSINO STADIUM-CONCESSIONS,1 STADIUM DRIVE,WILMINGTON,19802,10/15/2020,Routine,,,"1 STADIUM DRIVE
WILMINGTON, DE 19802
(39.760493, -75.552502)"
ABSALOM  JONES CENTER,310 KIAMENSI ROAD,WILMINGTON,19804,03/04/2020,Routine,,,"310 KIAMENSI ROAD
WILMINGTON, DE 19804
(39.722567, -75.622528)"
ACE SUSHI @ G&E MKT,695 BETHANY LOOP,BETHANY BEACH,19930,05/11/2021,Routine,,,"695 BETHANY LOOP
BETHANY BEACH, DE 19930
(38.554698, -75.081879)"
ACME MARKET #1228,128 LANTANA DR,HOCKESSIN,19707,07/30/2021,Routine,,,"128 LANTANA DR
HOCKESSIN, DE 19707
(39.774105, -75.711011)"
ACME MARKETS,146 FOX HUNT DR,BEAR,19701,11/06/2020,Routine,,,"146 FOX HUNT DR
BEAR, DE 19701
(39.606633, -75.712987)"
ADAMS RIB & GRILLE,2707 PHILADELPHIA PIKE,CLAYMONT,19703,02/28/2020,Routine,,,"2707 PHILADELPHIA PIKE
CLAYMONT, DE 19703
(39.794866, -75.46708)"
ADA'S PICNIC,32497 LONG NECK RD,MILLSBORO,19966,05/05/2020,Routine,,,"32497 LONG NECK RD
MILLSBORO, DE 19966
(38.63115, -75.177032)"
AGAVE RESTAURANT,19178 COASTAL HWY,REHOBOTH BEACH,19971,10/19/2021,Routine,,,"19178 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.726099, -75.126828)"
AGAVE RESTAURANT,19178 COASTAL HWY,REHOBOTH BEACH,19971,11/01/2021,Follow-up,,,"19178 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.726099, -75.126828)"
AIR LIQUIDE INNOVATIOB CAMPUS,200 GBC DRIVE,NEWARK,19702,09/18/2020,Routine,,,"200 GBC DRIVE
NEWARK, DE 19702
(39.615762, -75.743638)"
AL CASAPULLA'S ITALIAN DELI,535 ATLANTIC AVE,MILLVILLE,19970,01/07/2020,Routine,,,"535 ATLANTIC AVE
MILLVILLE, DE 19970
(38.54851, -75.119128)"
ALADDIN RESTAURANT,65 MARROWS RD,NEWARK,19713,06/18/2020,Routine,,,"65 MARROWS RD
NEWARK, DE 19713
(39.666744, -75.727146)"
AMERICAN LEGION POST #19,12168 LAUREL RD,LAUREL,19956,02/10/2020,Routine,,,"12168 LAUREL RD
LAUREL, DE 19956
(38.555006, -75.537631)"
AMERICAN LEGION POST #19,12168 LAUREL RD,LAUREL,19956,12/30/2021,Routine,,,"12168 LAUREL RD
LAUREL, DE 19956
(38.555006, -75.537631)"
AMERICAN LEGION POST #5,300 KING CHARLES AVE,REHOBOTH BEACH,19971,02/12/2020,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","300 KING CHARLES AVE
REHOBOTH BEACH, DE 19971
(38.713326, -75.078364)"
AMERICAN LEGION POST 17,PO BOX 5,LEWES,19958,01/07/2020,Routine,4-501.111,"Manual Warewashing Equipment, Hot Water Sanitization Temperatures",
AMERICAN LEGION POST 17,PO BOX 5,LEWES,19958,01/07/2020,Routine,3-301.11,Preventing Contamination from Hands,
AMERICAN LEGION STAHL POST NO 30,156 A N DUPONT HWY,NEW CASTLE,19720,09/30/2021,Routine,,,"156 A N DUPONT HWY
NEW CASTLE, DE 19720
(39.674243, -75.595902)"
AMERICA'S BEST WINGS,800 W 4TH  ST #301,WILMINGTON,19801,07/23/2020,Routine,,,"800 W 4TH  ST #301
WILMINGTON, DE 19801
(39.743483, -75.558817)"
AMITY BISTRO,209 N MARKET ST,WILMINGTON,19801,07/06/2021,Routine,,,"209 N MARKET ST
WILMINGTON, DE 19801
(39.739075, -75.552204)"
AMITY COFFEE ROASTERS & CAFÉ,13 W MARKET ST,GREENWOOD,19950,03/11/2021,Routine,,,"13 W MARKET ST
GREENWOOD, DE 19950
(38.807556, -75.593488)"
AMITY COFFEE ROASTERS & CAFÉ,13 W MARKET ST,GREENWOOD,19950,05/07/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"13 W MARKET ST
GREENWOOD, DE 19950
(38.807556, -75.593488)"
ANDY'S PIZZA,501 EAST MKT ST,GREENWOOD,19950,04/07/2021,Routine,,,"501 EAST MKT ST
GREENWOOD, DE 19950
(38.918507, -75.42662)"
ANGIE'S LONCHERA,409 NORTH RACE ST,GEORGETOWN,19947,11/24/2021,Routine,,,"409 NORTH RACE ST
GEORGETOWN, DE 19947
(38.696215, -75.39105)"
ANGOLA BY THE BAY PROPERTY OWNERS,143 ANGOLA BY THE BAY,LEWES,19958,01/08/2020,Routine,,,
ANTHONY'S TAQUERIA MOBILE,2119 S DUPONT BLVD,SMYRNA,19977,08/05/2021,Routine,,,"2119 S DUPONT BLVD
SMYRNA, DE 19977
(39.274054, -75.590414)"
APEXX KG,911 N ORANGE ST,WILMINGTON,19801,12/29/2021,Routine,,,"911 N ORANGE ST
WILMINGTON, DE 19801
(39.745273, -75.5496)"
AQUA BAR AND GRILL,57 BALTIMORE AVE,REHOBOTH BEACH,19971,04/30/2020,Routine,,,"57 BALTIMORE AVE
REHOBOTH BEACH, DE 19971
(38.716919, -75.081753)"
ARABIAN HALAL FOOD,308 MILLER RD APT 207,WILMINGTON,19802,06/25/2020,Routine,,,
ARBY'S,13 LIBERTY PLAZA,NEWARK,19711,05/19/2020,Routine,,,"13 LIBERTY PLAZA
NEWARK, DE 19711
(39.693869, -75.71936)"
ARBY'S,38452 DUPONT BLVD,SELBYVILLE,19975,02/03/2020,Routine,,,"38452 DUPONT BLVD
SELBYVILLE, DE 19975
(38.455203, -75.23344)"
ARBY'S GEORGETOWN,20523 N DUPONT HWY,GEORGETOWN,19947,02/24/2021,Routine,,,"20523 N DUPONT HWY
GEORGETOWN, DE 19947
(38.700279, -75.401069)"
ARENAS AT AIRPORT,21553 RUDDER LN SUSSEX COUNTY AIRPO,GEORGETOWN,19947,01/28/2021,Routine,,,"21553 RUDDER LN SUSSEX COUNTY AIRPO
GEORGETOWN, DE 19947
(38.690781, -75.363726)"
ARENAS AT AIRPORT,21553 RUDDER LN SUSSEX COUNTY AIRPO,GEORGETOWN,19947,10/11/2021,Routine,,,"21553 RUDDER LN SUSSEX COUNTY AIRPO
GEORGETOWN, DE 19947
(38.690781, -75.363726)"
ARMAND'S PIZZA,"SUITES H & I, ROUTE ONE & WEST WAY",BETHANY BEACH,19930,03/05/2021,Routine,,,
AROMA MEDITERRANEAN CUISINE,208 SECOND ST,REHOBOTH BEACH,19971,02/12/2020,Routine,,,"208 SECOND ST
REHOBOTH BEACH, DE 19971
(38.715383, -75.081768)"
ASIAN CITY,248 DOVE RUN CENTRE DR,MIDDLETOWN,19709,01/14/2021,Routine,,,"248 DOVE RUN CENTRE DR
MIDDLETOWN, DE 19709
(39.454331, -75.687686)"
ASIAN EXPRESS LLC,26607 CENTERVIEW DR UNIT 15,MILLSBORO,19966,08/25/2021,Follow-up,,,"26607 CENTERVIEW DR UNIT 15
MILLSBORO, DE 19966
(38.575851, -75.284269)"
ASPIRA ACADEMY HIGH SCHOOL,750 OTTS CHAPEL RD,NEWARK,19713,10/09/2020,Routine,,,"750 OTTS CHAPEL RD
NEWARK, DE 19713
(39.651787, -75.780467)"
AUNT VONDA'S KITCHEN TABLE,16 SALEM VILLAGE SQ,NEWARK,19703,09/28/2021,Routine,,,"16 SALEM VILLAGE SQ
NEWARK, DE 19703
(39.668397, -75.695775)"
AUNTIE ANNE'S,"36470 SEASIDE OUTLET, STE X02",REHOBOTH BEACH,19971,02/07/2020,Routine,,,"36470 SEASIDE OUTLET, STE X02
REHOBOTH BEACH, DE 19971
(38.719069, -75.112524)"
AUNTIE ANNE'S,"36470 SEASIDE OUTLET, STE X02",REHOBOTH BEACH,19971,10/21/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"36470 SEASIDE OUTLET, STE X02
REHOBOTH BEACH, DE 19971
(38.719069, -75.112524)"
AVA'S PIZZERIA & WINE BAR,29 BALTIMORE AVE,REHOBOTH BEACH,19971,06/16/2021,Routine,,,"29 BALTIMORE AVE
REHOBOTH BEACH, DE 19971
(38.717241, -75.079292)"
AVOCADOS FROM MEXICO & ICE CREAME,2401-05 KIRKWOOD HIGHWAY,WILMINGTON,19805,12/15/2021,Routine,,,"2401-05 KIRKWOOD HIGHWAY
WILMINGTON, DE 19805
(39.738039, -75.612868)"
BA ROOS ICE CREAM,"33550 MARKETPLACE, SUITE #2C",BETHANY BEACH,19930,07/09/2021,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","33550 MARKETPLACE, SUITE #2C
BETHANY BEACH, DE 19930
(38.526735, -75.057512)"
BACK PORCH CAFÉ,59 REHOBOTH AVE,REHOBOTH BEACH,19971,02/26/2020,Routine,,,"59 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716568, -75.078292)"
BACKYARD JAMS & JELLIES,6 CRISTEEN CT,LEWES,1958,08/16/2021,Routine,,,"6 CRISTEEN CT
LEWES, DE 1958
(38.76088, -75.189457)"
BAILEY'S SEAFOOD,28653 GUMTREE RD,FRANKFORD,19945,07/06/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"28653 GUMTREE RD
FRANKFORD, DE 19945
(38.522112, -75.244763)"
BAILEY'S SEAFOOD,28653 GUMTREE RD,FRANKFORD,19945,07/06/2021,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","28653 GUMTREE RD
FRANKFORD, DE 19945
(38.522112, -75.244763)"
BAILEY'S SEAFOOD,28653 GUMTREE RD,FRANKFORD,19945,07/06/2021,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","28653 GUMTREE RD
FRANKFORD, DE 19945
(38.522112, -75.244763)"
BAILEY'S SEAFOOD,28653 GUMTREE RD,FRANKFORD,19945,07/06/2021,Routine,3-304.11,"Food Contact with Equipment, Utensils, and Linens","28653 GUMTREE RD
FRANKFORD, DE 19945
(38.522112, -75.244763)"
BAILEY'S SEAFOOD,28653 GUMTREE RD,FRANKFORD,19945,07/14/2021,Follow-up,,,"28653 GUMTREE RD
FRANKFORD, DE 19945
(38.522112, -75.244763)"
BAJA BEACH HOUSE & GRILL,109 GARFIELD PARKWAY,BETHANY BEACH,19930,04/30/2021,Routine,,,"109 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.538468, -75.056039)"
BANGKOK BISTRO,24 GEORGETOWN PLAZA,GEORGETOWN,19947,01/29/2020,Routine,,,"24 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.680207, -75.396427)"
BANGKOK BISTRO,24 GEORGETOWN PLAZA,GEORGETOWN,19947,06/30/2021,Routine,3-303.11,"Ice Used as Exterior Coolant, Prohibited as Ingredient","24 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.680207, -75.396427)"
BANGKOK BISTRO,24 GEORGETOWN PLAZA,GEORGETOWN,19947,12/29/2021,Routine,,,"24 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.680207, -75.396427)"
BANGKOK THAI CUISINE,17644 COASTAL HWY,LEWES,19958,01/02/2020,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","17644 COASTAL HWY
LEWES, DE 19958
(38.748443, -75.168058)"
BARCELONA PIZZA,4700 LIMESTONE RD,WILMINGTON,19808,02/09/2021,Routine,,,"4700 LIMESTONE RD
WILMINGTON, DE 19808
(39.740578, -75.690337)"
BARIMEALS LLC,1900 N TATNALL ST,WILMINGTON,19802,04/09/2020,Routine,,,"1900 N TATNALL ST
WILMINGTON, DE 19802
(39.752427, -75.543176)"
BASANT,1422-24 EAST PULASKI HWY,NEWARK,19702,07/15/2020,Routine,,,"1422-24 EAST PULASKI HWY
NEWARK, DE 19702
(39.623602, -75.681159)"
BASIL,422 DELAWARE AVE,WILMINGTON,19801,05/03/2021,Routine,,,"422 DELAWARE AVE
WILMINGTON, DE 19801
(39.747525, -75.55106)"
BASIL,422 DELAWARE AVE,WILMINGTON,19801,05/03/2021,Routine,,,"422 DELAWARE AVE
WILMINGTON, DE 19801
(39.747525, -75.55106)"
